年度,会計名称,款,款名称,項,項名称,目,目名称,事業,事業名称,節,節名称,節細,節細名称,予算額（千円）,COFOGLevel1,COFOGLevel1Ja,COFOGLevel1En,COFOGLevel2,COFOGLevel2Ja,COFOGLevel2En,COFOGLevel3,COFOGLevel3Ja,COFOGLevel3En
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,3,通勤手当,969.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,5,時間外勤務手当,1888.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,7,管理職手当,3180.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,8,期末手当,10980.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,9,勤勉手当,10146.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,3,職員手当等,17,地域手当,7748.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,4,共済費,17,地域手当,15530.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,5,職員給与関係経費,4,共済費,2,共済組合負担金（一般職）,15530.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,4,共済費,2,共済組合負担金（一般職）,56355.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,7,報償費,2,共済組合負担金（一般職）,410.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,7,報償費,1,報償金,400.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,7,報償費,2,賞賜金,10.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,8,旅費,2,賞賜金,5835.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,8,旅費,1,費用弁償,4780.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,8,旅費,2,普通旅費,45.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,8,旅費,3,特別旅費,1010.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,9,交際費,3,特別旅費,500.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,9,交際費,1,交際費,500.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,1,交際費,9115.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,1,消耗品費,1989.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,3,食糧費,185.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,4,印刷製本費,6841.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,10,需用費,6,修繕料,100.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,11,役務費,6,修繕料,646.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,11,役務費,1,通信運搬費,376.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,11,役務費,3,広告料,30.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,11,役務費,4,手数料,240.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,12,委託料,4,手数料,18315.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,12,委託料,1,施設管理委託料,770.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,12,委託料,2,設計委託料,0.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,12,委託料,5,委託料,17545.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,13,使用料及び賃借料,5,委託料,9411.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,13,使用料及び賃借料,1,使用料,2247.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,13,使用料及び賃借料,2,賃借料,7164.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,14,工事請負費,2,賃借料,0.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,14,工事請負費,3,修繕工事,0.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,18,負担金補助及び交付金,3,修繕工事,12123.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,18,負担金補助及び交付金,1,負担金,2043.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,1,議会費,1,議会費,1,議会費,11,議会運営に要する経費,18,負担金補助及び交付金,2,補助金,10080.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,議会費,1,議会費,11,議会運営に要する経費,18,負担金補助及び交付金,2,補助金,6845143.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,議会費,11,議会運営に要する経費,18,負担金補助及び交付金,2,補助金,4752633.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,議会運営に要する経費,18,負担金補助及び交付金,2,補助金,45341.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,18,負担金補助及び交付金,2,補助金,14732.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,7,報償費,2,補助金,160.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,7,報償費,1,報償金,160.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,8,旅費,1,報償金,72.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,8,旅費,1,費用弁償,22.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,8,旅費,2,普通旅費,50.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,10,需用費,2,普通旅費,2870.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,10,需用費,1,消耗品費,2851.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,10,需用費,6,修繕料,19.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,11,役務費,6,修繕料,1089.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,11,役務費,1,通信運搬費,1089.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,12,委託料,1,通信運搬費,10512.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,12,委託料,5,委託料,10512.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,17,備品購入費,5,委託料,29.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,17,備品購入費,1,管理用備品,29.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,18,負担金補助及び交付金,1,管理用備品,0.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,18,負担金補助及び交付金,1,負担金,0.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,18,負担金補助及び交付金,1,負担金,13721.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,10,需用費,1,負担金,72.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,10,需用費,1,消耗品費,36.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,10,需用費,4,印刷製本費,25.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,10,需用費,6,修繕料,11.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,11,役務費,6,修繕料,13649.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,11,役務費,1,通信運搬費,13649.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,17,備品購入費,1,通信運搬費,0.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,17,備品購入費,1,管理用備品,0.0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,17,備品購入費,1,管理用備品,3656.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,8,旅費,1,管理用備品,51.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,8,旅費,2,普通旅費,51.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,10,需用費,2,普通旅費,283.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,10,需用費,1,消耗品費,283.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,11,役務費,1,消耗品費,426.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,11,役務費,1,通信運搬費,426.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,12,委託料,1,通信運搬費,1452.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,12,委託料,5,委託料,1452.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,13,使用料及び賃借料,5,委託料,1363.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,13,使用料及び賃借料,2,賃借料,1363.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,17,備品購入費,2,賃借料,17.0,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(Collective Servuces),Executive and legislative organs  (CS)
