,年度,会計名称,款,款名称,項,項名称,目,目名称,事業,事業名称,節,節名称,節細,節細名称,amount,COFOGLevel1,COFOGLevel1Ja,COFOGLevel1En,COFOGLevel2,COFOGLevel2Ja,COFOGLevel2En,COFOGLevel3,COFOGLevel3Ja,COFOGLevel3En
37,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,8,旅費,2,普通旅費,50000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
38,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,10,需用費,1,消耗品費,2851000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
39,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,10,需用費,6,修繕料,19000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
40,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,11,役務費,1,通信運搬費,1089000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
41,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,12,委託料,5,委託料,10512000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
42,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,17,備品購入費,1,管理用備品,29000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
43,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,文書管理に要する経費,18,負担金補助及び交付金,1,負担金,0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
44,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,10,需用費,1,消耗品費,36000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
45,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,10,需用費,4,印刷製本費,25000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
46,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,10,需用費,6,修繕料,11000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
47,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,11,役務費,1,通信運搬費,13649000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
48,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,通信運搬に要する経費,17,備品購入費,1,管理用備品,0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
49,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,8,旅費,2,普通旅費,51000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
50,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,10,需用費,1,消耗品費,283000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
51,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,11,役務費,1,通信運搬費,426000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
52,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,12,委託料,5,委託料,1452000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
53,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,13,使用料及び賃借料,2,賃借料,1363000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
54,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,17,備品購入費,1,管理用備品,17000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
55,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,13,法制・法務に要する経費,18,負担金補助及び交付金,1,負担金,64000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
56,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,14,総合賠償保険に要する経費,8,旅費,2,普通旅費,3000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.2,財務・会計(CS),Financial and fiscal affairs (CS)
57,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,14,総合賠償保険に要する経費,11,役務費,6,保険料,4536000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.2,財務・会計(CS),Financial and fiscal affairs (CS)
58,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,1,報酬,2,委員報酬,272000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
59,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,8,旅費,1,費用弁償,76000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
60,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,8,旅費,2,普通旅費,21000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
61,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,10,需用費,1,消耗品費,32000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
62,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,11,役務費,1,通信運搬費,27000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
63,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,12,委託料,5,委託料,0,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
64,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,13,使用料及び賃借料,1,使用料,33000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
65,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,15,総務事務に要する経費,18,負担金補助及び交付金,1,負担金,53000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
66,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,情報公開等に要する経費,1,報酬,2,委員報酬,448000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
67,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,情報公開等に要する経費,8,旅費,1,費用弁償,112000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
68,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,情報公開等に要する経費,8,旅費,2,普通旅費,16000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
69,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,情報公開等に要する経費,10,需用費,1,消耗品費,18000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
70,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,情報公開等に要する経費,10,需用費,4,印刷製本費,3000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
71,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,情報公開等に要する経費,12,委託料,5,委託料,132000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
72,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,情報公開等に要する経費,18,負担金補助及び交付金,1,負担金,62000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.3.3,その他の一般サービス(CS),Other general services (CS)
73,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,17,公平委員会共同設置に要する経費,18,負担金補助及び交付金,1,負担金,561000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
74,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,18,すぐ対応室に要する経費,10,需用費,1,消耗品費,147000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.1.3,対外関係(CS),External affairs (CS)
75,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,18,すぐ対応室に要する経費,12,委託料,5,委託料,5983000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.1.3,対外関係(CS),External affairs (CS)
76,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,18,すぐ対応室に要する経費,17,備品購入費,1,管理用備品,137000,1,公共サービス全般,General public services,1.3,一般サービス,General services,1.1.3,対外関係(CS),External affairs (CS)
77,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,19,政治倫理審査会に要する経費,1,報酬,2,委員報酬,280000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
78,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,19,政治倫理審査会に要する経費,8,旅費,1,費用弁償,70000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
79,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,20,教育特区に要する経費,1,報酬,2,委員報酬,144000,9,教育,Education,9.8,教育 n.e.c.,Education n.e.c.,9.8.0,一般教育(CS),Education n.e.c. (CS)
80,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,20,教育特区に要する経費,8,旅費,1,費用弁償,36000,9,教育,Education,9.8,教育 n.e.c.,Education n.e.c.,9.8.0,一般教育(CS),Education n.e.c. (CS)
81,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,20,教育特区に要する経費,8,旅費,2,普通旅費,26000,9,教育,Education,9.8,教育 n.e.c.,Education n.e.c.,9.8.0,一般教育(CS),Education n.e.c. (CS)
82,2021,一般会計,2,総務費,1,総務管理費,1,一般管理費,20,教育特区に要する経費,10,需用費,1,消耗品費,4000,9,教育,Education,9.8,教育 n.e.c.,Education n.e.c.,9.8.0,一般教育(CS),Education n.e.c. (CS)
83,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,常勤特別職給与関係経費,2,給料,1,特別職給,29412000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
84,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,常勤特別職給与関係経費,3,職員手当等,8,期末手当,9443000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
85,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,常勤特別職給与関係経費,3,職員手当等,11,退職手当等負担金,4271000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
86,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,常勤特別職給与関係経費,4,共済費,1,共済組合負担金（特別職）,5023000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
87,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,常勤特別職給与関係経費,4,共済費,3,追加費用,370000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
88,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,常勤特別職給与関係経費,4,共済費,5,地方公務員災害補償基金負担金,35000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
89,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,2,給料,2,一般職給,621610000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
90,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,3,職員手当等,1,扶養手当,17535000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
91,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,3,職員手当等,2,住居手当,12490000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
92,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,3,職員手当等,3,通勤手当,18218000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
93,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,3,職員手当等,5,時間外勤務手当,42998000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
94,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,3,職員手当等,6,宿日直手当,389000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
95,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,3,職員手当等,7,管理職手当,29742000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
96,2021,一般会計,2,総務費,1,総務管理費,2,人事管理費,5,職員給与関係経費,3,職員手当等,8,期末手当,164944000,1,公共サービス全般,General public services,1.1,行政・立法機関、財務・財政、渉外,"Executive and legislative organs, financial and fiscal affairs, external affairs",1.1.1,行政・立法機関(CS),Executive and legislative organs (CS)
