,年度,所属,所属名,会計,会計名,款,款名,項,項名,目,目名,事業,事業名,節,節名,細節,細節名,予算額,COFOG_Level1,COFOG_Level2
23,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,12,委託料,24,議会中継システム管理運用委託料,858000,1,1.1
24,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,12,委託料,26,議会だより作成印刷委託料,1116000,1,1.1
25,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,12,委託料,27,議会トータルシステム保守委託料,66000,1,1.1
26,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,12,委託料,28,議会トータルシステム再インストール業務委託料,44000,1,1.1
27,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,12,委託料,29,インターネット中継映像データ作成委託料,812000,1,1.1
28,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,13,使用料及び賃借料,1,事務機器使用料,47000,1,1.1
29,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,13,使用料及び賃借料,3,有料道路・駐車場使用料,36000,1,1.1
30,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,13,使用料及び賃借料,6,バス借上料,54000,1,1.1
31,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,13,使用料及び賃借料,21,議会公用車リース料,690000,1,1.1
32,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,13,使用料及び賃借料,24,議会中継システム賃借料,146000,1,1.1
33,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,10,議会事務運営費,13,使用料及び賃借料,25,議場マイクシステム賃借料,234000,1,1.1
34,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,95,負担金・補助金,18,負担金補助及び交付金,21,政務活動費交付金,7200000,1,1.1
35,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,95,負担金・補助金,18,負担金補助及び交付金,22,全国市議会議長会負担金,588000,1,1.1
36,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,95,負担金・補助金,18,負担金補助及び交付金,23,関東市議会議長会負担金,88000,1,1.1
37,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,95,負担金・補助金,18,負担金補助及び交付金,24,千葉県市議会議長会負担金,164000,1,1.1
38,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,95,負担金・補助金,18,負担金補助及び交付金,25,東葛都市議会連絡協議会負担金,90000,1,1.1
39,R3,1501010000,議会事務局,1,一般会計,1,議会費,1,議会費,1,議会費,95,負担金・補助金,18,負担金補助及び交付金,90,研修負担金,39000,1,1.1
40,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,1,非常勤特別職人件費,1,報酬,21,我孫子市資産等公開審査会委員報酬,18000,1,1.1
41,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,4,会計年度任用職員人件費（パートタイム）,1,報酬,1,会計年度任用職員報酬,1505000,1,1.1
42,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,4,会計年度任用職員人件費（パートタイム）,3,職員手当等,1,職員手当等,105000,1,1.1
43,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,4,会計年度任用職員人件費（パートタイム）,4,共済費,2,社会保険料,247000,1,1.1
44,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,4,会計年度任用職員人件費（パートタイム）,8,旅費,3,費用弁償,62000,1,1.1
45,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,7,報償費,24,叙勲・褒章受章者報償費,30000,1,1.3
46,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,8,旅費,1,普通旅費,245000,1,1.3
47,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,8,旅費,2,研修旅費,208000,1,1.3
48,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,9,交際費,21,市長交際費,750000,1,1.3
49,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,10,需用費,1,消耗品費,178000,1,1.3
50,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,10,需用費,3,食糧費,20000,1,1.3
51,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,10,需用費,4,印刷製本費,32000,1,1.3
52,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,10,需用費,6,修繕料,169000,1,1.3
53,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,11,役務費,1,通信運搬費,32000,1,1.3
54,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,11,役務費,3,広告料,121000,1,1.3
55,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,13,使用料及び賃借料,1,事務機器使用料,14000,1,1.3
56,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,10,秘書事務運営費,18,負担金補助及び交付金,22,宿泊負担金,45000,1,1.3
57,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,市民相談事業,10,需用費,1,消耗品費,7000,1,1.3
58,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,11,市民相談事業,12,委託料,21,法律相談委託料,2555000,1,1.3
59,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,広聴事業,7,報償費,21,市政モニター報償費,35000,1,1.3
60,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,広聴事業,8,旅費,2,研修旅費,2000,1,1.3
61,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,広聴事業,10,需用費,1,消耗品費,19000,1,1.3
62,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,広聴事業,10,需用費,4,印刷製本費,30000,1,1.3
63,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,広聴事業,11,役務費,1,通信運搬費,32000,1,1.3
64,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,12,広聴事業,13,使用料及び賃借料,3,有料道路・駐車場使用料,2000,1,1.3
65,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,7,報償費,22,聖火リレー救護所医師報償費,67000,8,8.1
66,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,7,報償費,23,聖火リレー救護所看護師報償費,17000,8,8.1
67,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,8,旅費,3,費用弁償,2215000,8,8.1
68,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,10,需用費,1,消耗品費,704000,8,8.1
69,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,10,需用費,3,食糧費,92000,8,8.1
70,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,10,需用費,4,印刷製本費,100000,8,8.1
71,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,11,役務費,8,その他保険料,186000,8,8.1
72,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,12,委託料,22,聖火リレーイベント運営業務委託料,949000,8,8.1
73,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,12,委託料,23,空撮業務委託料,200000,8,8.1
74,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,12,委託料,24,聖火リレー通過記念銘板作成・設置業務委託料,603000,8,8.1
75,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,13,使用料及び賃借料,3,有料道路・駐車場使用料,169000,8,8.1
76,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,13,使用料及び賃借料,6,バス借上料,1535000,8,8.1
77,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,13,使用料及び賃借料,21,自動車借上料,100000,8,8.1
78,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,13,使用料及び賃借料,22,楽譜賃借料,50000,8,8.1
79,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,16,東京オリンピック・パラリンピック推進事業,17,備品購入費,21,事業用備品購入費,72000,8,8.1
80,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,95,負担金・補助金,18,負担金補助及び交付金,21,全国市長会負担金,573000,1,1.3
81,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,95,負担金・補助金,18,負担金補助及び交付金,23,千葉県市長会負担金,638000,1,1.3
82,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,1,一般管理費,95,負担金・補助金,18,負担金補助及び交付金,36,全国ＩＣＴ教育首長協議会負担金,10000,1,1.3
83,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,非常勤特別職人件費,1,報酬,21,特別職報酬等審議会委員報酬,28000,1,1.3
84,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,非常勤特別職人件費,1,報酬,22,試験委員報酬,50000,1,1.3
85,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,非常勤特別職人件費,1,報酬,23,行政改革推進委員会委員報酬,280000,1,1.3
86,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,非常勤特別職人件費,1,報酬,24,提案型公共サービス民営化制度審査会委員報酬,42000,1,1.3
87,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,1,非常勤特別職人件費,1,報酬,25,行政不服審査会委員報酬,21000,1,1.3
88,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,2,特別職人件費,2,給料,1,給料,18840000,1,1.3
89,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,2,特別職人件費,3,職員手当等,1,職員手当等,8290000,1,1.3
90,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,2,特別職人件費,4,共済費,1,共済・退職手当組合負担金,7713000,1,1.3
91,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,3,一般職人件費,2,給料,1,給料,377509000,1,1.3
92,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,3,一般職人件費,3,職員手当等,1,職員手当等,280515000,1,1.3
93,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,3,一般職人件費,4,共済費,1,共済・退職手当組合負担金,195581000,1,1.3
94,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,1,報酬,1,会計年度任用職員報酬,11791000,1,1.3
95,R3,101070000,行政管理課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,1,報酬,1,会計年度任用職員報酬,1488000,1,1.3
96,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,3,職員手当等,1,職員手当等,968000,1,1.3
97,R3,101070000,行政管理課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,3,職員手当等,1,職員手当等,105000,1,1.3
98,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,4,共済費,2,社会保険料,2092000,1,1.3
99,R3,101070000,行政管理課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,4,共済費,2,社会保険料,247000,1,1.3
100,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,4,共済費,3,雇用保険料,11293000,1,1.3
101,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,5,災害補償費,1,災害補償費,10000,1,1.3
102,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,8,旅費,3,費用弁償,443000,1,1.3
103,R3,101070000,行政管理課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,4,会計年度任用職員人件費（パートタイム）,8,旅費,3,費用弁償,62000,1,1.3
104,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,6,会計年度任用職員人件費（技能労務職）,2,給料,1,給料,1928000,1,1.3
105,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,6,会計年度任用職員人件費（技能労務職）,3,職員手当等,1,職員手当等,213000,1,1.3
106,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,6,会計年度任用職員人件費（技能労務職）,4,共済費,2,社会保険料,333000,1,1.3
107,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,6,会計年度任用職員人件費（技能労務職）,5,災害補償費,1,災害補償費,10000,1,1.3
108,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,7,一般職人件費（再任用職員）,2,給料,1,給料,3782000,1,1.3
109,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,7,一般職人件費（再任用職員）,3,職員手当等,1,職員手当等,2238000,1,1.3
110,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,7,一般職人件費（再任用職員）,4,共済費,1,共済・退職手当組合負担金,1213000,1,1.3
111,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,7,一般職人件費（再任用職員）,4,共済費,6,雇用保険料（再任用職員分）,53000,1,1.3
112,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,8,一般職人件費（再任用短時間勤務職員）,2,給料,1,給料,89421000,1,1.3
113,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,8,一般職人件費（再任用短時間勤務職員）,3,職員手当等,1,職員手当等,33656000,1,1.3
114,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,8,一般職人件費（再任用短時間勤務職員）,4,共済費,7,社会保険料（再任用短時間勤務職員分）,18428000,1,1.3
115,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,8,一般職人件費（再任用短時間勤務職員）,4,共済費,8,雇用保険料（再任用短時間勤務職員分）,1091000,1,1.3
116,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,9,会計年度任用職員人件費（フルタイム）,5,災害補償費,1,災害補償費,10000,1,1.3
117,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,8,旅費,1,普通旅費,4000,1,1.3
118,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,8,旅費,2,研修旅費,14000,1,1.3
119,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,10,需用費,1,消耗品費,1724000,1,1.3
120,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,10,需用費,4,印刷製本費,147000,1,1.3
121,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,11,役務費,4,手数料,8000,1,1.3
122,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,11,役務費,5,筆耕翻訳料,16000,1,1.3
123,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,11,役務費,8,その他保険料,5000,1,1.3
124,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,12,委託料,22,試験委託料,1012000,1,1.3
125,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,12,委託料,24,人事給与システム保守委託料,2551000,1,1.3
126,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,12,委託料,25,封入封緘委託料,50000,1,1.3
127,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,13,使用料及び賃借料,3,有料道路・駐車場使用料,3000,1,1.3
128,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,13,使用料及び賃借料,24,職員採用試験会場使用料,204000,1,1.3
129,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,13,使用料及び賃借料,25,人事給与システム賃借料,4019000,1,1.3
130,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,17,備品購入費,21,事務用備品購入費,315000,1,1.3
131,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,10,人事管理事務運営費,18,負担金補助及び交付金,90,研修負担金,90000,1,1.3
132,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,7,報償費,1,講師報償費,230000,1,1.3
133,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,8,旅費,2,研修旅費,515000,1,1.3
134,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,10,需用費,1,消耗品費,25000,1,1.3
135,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,11,役務費,5,筆耕翻訳料,48000,1,1.3
136,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,12,委託料,21,職員研修委託料,1920000,1,1.3
137,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,18,負担金補助及び交付金,21,千葉県自治センター負担金,425000,1,1.3
138,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,18,負担金補助及び交付金,22,日本経営協会負担金,50000,1,1.3
139,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,11,職員研修事業,18,負担金補助及び交付金,90,研修負担金,1045000,1,1.3
140,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,12,行政改革推進事業,7,報償費,22,職員提案報償費,55000,1,1.1
141,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,12,行政改革推進事業,11,役務費,5,筆耕翻訳料,198000,1,1.1
142,R3,101070000,行政管理課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,14,リスクマネジメント推進事業,8,旅費,1,普通旅費,29000,1,1.3
143,R3,101070000,行政管理課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,14,リスクマネジメント推進事業,10,需用費,1,消耗品費,15000,1,1.3
144,R3,101070000,行政管理課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,14,リスクマネジメント推進事業,12,委託料,21,職員研修業務委託料,160000,1,1.3
145,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,21,地方公務員災害補償基金負担金,8500000,1,1.3
146,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,22,非常勤職員公務災害負担金,598000,1,1.3
147,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,23,市町村公平委員会負担金,208000,1,1.3
148,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,25,市町村職員互助会負担金,1194000,1,1.3
149,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,26,職員福利厚生事業負担金,3300000,1,1.3
150,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,28,採用試験負担金,80000,1,1.3
151,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,29,セーフティドライバーズ参加負担金,21000,1,1.3
152,R3,101010000,総務課,1,一般会計,2,総務費,1,総務管理費,2,人事管理費,95,負担金・補助金,18,負担金補助及び交付金,90,研修負担金,300000,1,1.3
153,R3,101050000,文書管理課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,1,非常勤特別職人件費,1,報酬,21,情報公開・個人情報審査会委員報酬,53000,1,1.3
154,R3,101050000,文書管理課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,1,非常勤特別職人件費,1,報酬,23,個人情報審議会委員報酬,49000,1,1.3
155,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,1,報酬,1,会計年度任用職員報酬,2309000,1,1.3
156,R3,101050000,文書管理課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,1,報酬,21,会計年度任用職員報酬,1488000,1,1.3
157,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,3,職員手当等,1,職員手当等,218000,1,1.3
158,R3,101050000,文書管理課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,3,職員手当等,21,職員手当等,105000,1,1.3
159,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,4,共済費,2,社会保険料,386000,1,1.3
160,R3,101050000,文書管理課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,4,共済費,21,社会保険料,247000,1,1.3
161,R3,101020000,秘書広報課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,8,旅費,3,費用弁償,76000,1,1.3
162,R3,101050000,文書管理課,1,一般会計,2,総務費,1,総務管理費,3,情報公開費,4,会計年度任用職員人件費（パートタイム）,8,旅費,21,費用弁償,45000,1,1.3
