,年度,会計名称,款,款名称,項,項名称,目,目名称,細目,細目名称,,節,節名称,予算額,COFOG_Level1,COFOG_Level2
81,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,,10,需用費,3548,1,1.3
82,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,,11,役務費,300,1,1.3
83,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,,12,委託料,29504,1,1.3
84,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,55,福利厚生事業,,18,負担金・補助及び交付金,12495,1,1.3
85,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,1,報酬,0,1,1.3
86,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,7,報償費,577,1,1.3
87,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,8,旅費,2381,1,1.3
88,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,10,需用費,233,1,1.3
89,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,11,役務費,32,1,1.3
90,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,12,委託料,3087,1,1.3
91,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,13,使用料及び賃借料,0,1,1.3
92,R3,一般会計,2,総務費,1,総務管理費,2,人事管理費,56,職員研修事業,,18,負担金・補助及び交付金,11562,1,1.3
93,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,57,広報活動費,,10,需用費,190,1,1.3
94,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,57,広報活動費,,11,役務費,3233,1,1.3
95,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,57,広報活動費,,12,委託料,56094,1,1.3
96,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,57,広報活動費,,13,使用料及び賃借料,192,1,1.3
97,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,57,広報活動費,,18,負担金・補助及び交付金,42,1,1.3
98,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,58,広聴活動費,,1,報酬,270,1,1.3
99,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,58,広聴活動費,,7,報償費,4857,1,1.3
100,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,58,広聴活動費,,10,需用費,70,1,1.3
101,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,58,広聴活動費,,12,委託料,2268,1,1.3
102,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,59,文書事務経費,,10,需用費,1600,1,1.3
103,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,59,文書事務経費,,11,役務費,239,1,1.3
104,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,59,文書事務経費,,12,委託料,9532,1,1.3
105,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,59,文書事務経費,,13,使用料及び賃借料,7,1,1.3
106,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,60,事務機械経費,,10,需用費,11582,1,1.3
107,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,60,事務機械経費,,12,委託料,13996,1,1.3
108,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,60,事務機械経費,,13,使用料及び賃借料,12929,1,1.3
109,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,60,事務機械経費,,17,備品購入費,440,1,1.3
110,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,61,情報公開関係経費,,1,報酬,537,1,1.3
111,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,890,シティセールス推進事業,,10,需用費,27,1,1.3
112,R3,一般会計,2,総務費,1,総務管理費,3,文書広報費,890,シティセールス推進事業,,12,委託料,11173,1,1.3
113,R3,一般会計,2,総務費,1,総務管理費,4,財政管理費,62,財政管理経費,,10,需用費,55,1,1.1
114,R3,一般会計,2,総務費,1,総務管理費,4,財政管理費,62,財政管理経費,,12,委託料,2512,1,1.1
115,R3,一般会計,2,総務費,1,総務管理費,4,財政管理費,62,財政管理経費,,13,使用料及び賃借料,726,1,1.1
116,R3,一般会計,2,総務費,1,総務管理費,4,財政管理費,62,財政管理経費,,18,負担金・補助及び交付金,0,1,1.1
117,R3,一般会計,2,総務費,1,総務管理費,5,会計管理費,63,会計管理経費,,1,報酬,0,1,1.1
118,R3,一般会計,2,総務費,1,総務管理費,5,会計管理費,63,会計管理経費,,10,需用費,273,1,1.1
119,R3,一般会計,2,総務費,1,総務管理費,5,会計管理費,63,会計管理経費,,11,役務費,8713,1,1.1
120,R3,一般会計,2,総務費,1,総務管理費,5,会計管理費,63,会計管理経費,,12,委託料,35647,1,1.1
121,R3,一般会計,2,総務費,1,総務管理費,5,会計管理費,63,会計管理経費,,13,使用料及び賃借料,6,1,1.1
122,R3,一般会計,2,総務費,1,総務管理費,5,会計管理費,63,会計管理経費,,18,負担金・補助及び交付金,100,1,1.1
123,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,65,公共建築物等整備保全基金積立,,24,積立金,69772,4,4.4
124,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,67,電算機管理運営経費,,10,需用費,5727,1,1.3
125,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,67,電算機管理運営経費,,11,役務費,27384,1,1.3
126,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,67,電算機管理運営経費,,12,委託料,37983,1,1.3
127,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,67,電算機管理運営経費,,13,使用料及び賃借料,90174,1,1.3
128,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,67,電算機管理運営経費,,17,備品購入費,0,1,1.3
129,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,67,電算機管理運営経費,,18,負担金・補助及び交付金,8380,1,1.3
130,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,68,情報政策事務経費,,7,報償費,23,1,1.3
131,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,68,情報政策事務経費,,10,需用費,0,1,1.3
132,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,68,情報政策事務経費,,12,委託料,502,1,1.3
133,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,68,情報政策事務経費,,13,使用料及び賃借料,2376,1,1.3
134,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,68,情報政策事務経費,,18,負担金・補助及び交付金,180,1,1.3
135,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,1,報酬,9888,1,1.3
136,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,8,旅費,748,1,1.3
137,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,10,需用費,36543,1,1.3
138,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,11,役務費,11101,1,1.3
139,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,12,委託料,120083,1,1.3
140,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,13,使用料及び賃借料,19,1,1.3
141,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,14,工事請負費,74773,1,1.3
142,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,15,原材料費,55,1,1.3
143,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,70,庁舎管理経費,,17,備品購入費,486,1,1.3
144,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,71,庁舎対策事業,,24,積立金,1899,1,1.3
145,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,7,報償費,1180,1,1.1
146,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,8,旅費,0,1,1.1
147,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,10,需用費,505,1,1.1
148,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,11,役務費,1157,1,1.1
149,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,12,委託料,19346,1,1.1
150,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,14,工事請負費,2130,1,1.1
151,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,16,公有財産購入費,180272,1,1.1
152,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,18,負担金・補助及び交付金,22,1,1.1
153,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,72,財産管理経費,,26,公課費,0,1,1.1
154,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,10,需用費,7548,1,1.3
155,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,11,役務費,423,1,1.3
156,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,13,使用料及び賃借料,3745,1,1.3
157,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,14,工事請負費,0,1,1.3
158,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,17,備品購入費,0,1,1.3
159,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,18,負担金・補助及び交付金,20,1,1.3
160,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,21,補償補填及び賠償金,1,1,1.3
161,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,73,車両管理経費,,26,公課費,81,1,1.3
162,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,74,情報システム管理運営経費,,10,需用費,601,1,1.3
163,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,74,情報システム管理運営経費,,11,役務費,49695,1,1.3
164,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,74,情報システム管理運営経費,,12,委託料,93034,1,1.3
165,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,74,情報システム管理運営経費,,13,使用料及び賃借料,167888,1,1.3
166,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,74,情報システム管理運営経費,,18,負担金・補助及び交付金,5933,1,1.3
167,R3,一般会計,2,総務費,1,総務管理費,6,財産管理費,79,いきいきＴＡＭＡ基金積立,,24,積立金,22,4,4.1
168,R3,一般会計,2,総務費,1,総務管理費,7,企画費,80,企画事務経費,,7,報償費,163,1,1.3
169,R3,一般会計,2,総務費,1,総務管理費,7,企画費,80,企画事務経費,,8,旅費,1,1,1.3
170,R3,一般会計,2,総務費,1,総務管理費,7,企画費,80,企画事務経費,,10,需用費,259,1,1.3
171,R3,一般会計,2,総務費,1,総務管理費,7,企画費,80,企画事務経費,,11,役務費,15,1,1.3
172,R3,一般会計,2,総務費,1,総務管理費,7,企画費,80,企画事務経費,,12,委託料,500,1,1.3
173,R3,一般会計,2,総務費,1,総務管理費,7,企画費,80,企画事務経費,,13,使用料及び賃借料,0,1,1.3
174,R3,一般会計,2,総務費,1,総務管理費,7,企画費,80,企画事務経費,,18,負担金・補助及び交付金,100,1,1.3
175,R3,一般会計,2,総務費,1,総務管理費,7,企画費,82,多摩市自治基本条例推進事業,,1,報酬,479,1,1.1
176,R3,一般会計,2,総務費,1,総務管理費,7,企画費,82,多摩市自治基本条例推進事業,,7,報償費,78,1,1.1
177,R3,一般会計,2,総務費,1,総務管理費,7,企画費,82,多摩市自治基本条例推進事業,,10,需用費,80,1,1.1
178,R3,一般会計,2,総務費,1,総務管理費,7,企画費,82,多摩市自治基本条例推進事業,,12,委託料,1892,1,1.1
179,R3,一般会計,2,総務費,1,総務管理費,7,企画費,85,女と男がともに生きる行動計画推進事業,,1,報酬,556,4,4.1
180,R3,一般会計,2,総務費,1,総務管理費,7,企画費,85,女と男がともに生きる行動計画推進事業,,7,報償費,31,4,4.1
181,R3,一般会計,2,総務費,1,総務管理費,7,企画費,85,女と男がともに生きる行動計画推進事業,,8,旅費,8,4,4.1
182,R3,一般会計,2,総務費,1,総務管理費,7,企画費,85,女と男がともに生きる行動計画推進事業,,10,需用費,48,4,4.1
183,R3,一般会計,2,総務費,1,総務管理費,7,企画費,85,女と男がともに生きる行動計画推進事業,,12,委託料,140,4,4.1
184,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,1,報酬,1897,4,4.1
185,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,7,報償費,1029,4,4.1
186,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,8,旅費,78,4,4.1
187,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,10,需用費,308,4,4.1
188,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,11,役務費,132,4,4.1
189,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,12,委託料,185,4,4.1
190,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,13,使用料及び賃借料,132,4,4.1
191,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,18,負担金・補助及び交付金,400,4,4.1
192,R3,一般会計,2,総務費,1,総務管理費,7,企画費,86,ＴＡＭＡ女性センター運営経費,,22,償還金・利子及び割引料,3,4,4.1
193,R3,一般会計,2,総務費,1,総務管理費,7,企画費,908,総合戦略推進経費,,7,報償費,136,4,4.1
194,R3,一般会計,2,総務費,1,総務管理費,7,企画費,936,行財政改革推進事業,,12,委託料,912,1,1.3
195,R3,一般会計,2,総務費,1,総務管理費,7,企画費,936,行財政改革推進事業,,13,使用料及び賃借料,1500,1,1.3
196,R3,一般会計,2,総務費,1,総務管理費,7,企画費,937,市制施行５０周年記念事業,,7,報償費,269,4,4.9
197,R3,一般会計,2,総務費,1,総務管理費,7,企画費,937,市制施行５０周年記念事業,,10,需用費,27,4,4.9
198,R3,一般会計,2,総務費,1,総務管理費,7,企画費,937,市制施行５０周年記念事業,,12,委託料,9898,4,4.9
199,R3,一般会計,2,総務費,1,総務管理費,7,企画費,954,若者のまちづくり推進事業,,12,委託料,484,4,4.1
200,R3,一般会計,2,総務費,1,総務管理費,7,企画費,955,ふるさとＴＡＭＡ応援寄附金管理運営経費,,11,役務費,616,4,4.9
201,R3,一般会計,2,総務費,1,総務管理費,7,企画費,955,ふるさとＴＡＭＡ応援寄附金管理運営経費,,12,委託料,4500,4,4.9
202,R3,一般会計,2,総務費,1,総務管理費,8,財政調整基金費,96,財政調整基金積立,,24,積立金,1282,1,1.1
203,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,97,青少年問題活動費,,1,報酬,2697,6,6.2
204,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,97,青少年問題活動費,,7,報償費,189,6,6.2
205,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,97,青少年問題活動費,,8,旅費,7,6,6.2
206,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,97,青少年問題活動費,,10,需用費,1342,6,6.2
207,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,97,青少年問題活動費,,11,役務費,12,6,6.2
208,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,97,青少年問題活動費,,13,使用料及び賃借料,2298,6,6.2
209,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,97,青少年問題活動費,,18,負担金・補助及び交付金,5260,6,6.2
210,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,951,子ども若者育成支援事業,,7,報償費,893,6,6.2
211,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,951,子ども若者育成支援事業,,10,需用費,72,6,6.2
212,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,951,子ども若者育成支援事業,,11,役務費,201,6,6.2
213,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,951,子ども若者育成支援事業,,12,委託料,1756,6,6.2
214,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,951,子ども若者育成支援事業,,18,負担金・補助及び交付金,2400,6,6.2
215,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,970,子どもの学習支援事業,,7,報償費,33,6,6.2
216,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,970,子どもの学習支援事業,,10,需用費,9,6,6.2
217,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,970,子どもの学習支援事業,,11,役務費,73,6,6.2
218,R3,一般会計,2,総務費,1,総務管理費,9,青少年対策費,970,子どもの学習支援事業,,12,委託料,6386,6,6.2
219,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,98,交通問題事務経費,,7,報償費,778,3,3.6
220,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,98,交通問題事務経費,,10,需用費,36,3,3.6
221,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,98,交通問題事務経費,,18,負担金・補助及び交付金,30,3,3.6
222,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,99,交通安全対策事務経費,,1,報酬,33,3,3.6
223,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,99,交通安全対策事務経費,,8,旅費,36,3,3.6
224,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,99,交通安全対策事務経費,,10,需用費,511,3,3.6
225,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,99,交通安全対策事務経費,,11,役務費,15,3,3.6
226,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,99,交通安全対策事務経費,,13,使用料及び賃借料,531,3,3.6
227,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,99,交通安全対策事務経費,,18,負担金・補助及び交付金,3126,3,3.6
228,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,100,交通安全指導経費,,1,報酬,6926,3,3.6
229,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,100,交通安全指導経費,,8,旅費,814,3,3.6
230,R3,一般会計,2,総務費,1,総務管理費,10,交通安全対策費,100,交通安全指導経費,,10,需用費,1332,3,3.6
